LeadID,Age,Gender,Province,EmploymentStatus,MaritalStatus,InitialProductInterest,LeadSource,FirstContactChannel,Predicted_CLTV,CLTV_Score_Normalized,Lead_Priority
Lead_031,26,Female,Ontario,Self-employed,Married,Investment,Online Ad,Email,169.71382444273328,0.009761824952698492,Very Low Priority
Lead_032,21,Male,Alberta,Student,Married,Chequing Account,Social Media,Branch,122.82212828430369,0.007064646151049528,Very Low Priority
Lead_033,18,Female,Ontario,Student,Married,Mortgage,Branch Walk-in,Call,465.9655269026716,0.026802023480124122,Very Low Priority
Lead_034,23,Male,Ontario,Part-time,Married,Credit Card,Referral,Call,221.0502067450693,0.012714659109761,Very Low Priority
Lead_035,23,Female,Quebec,Unknown,Single,Chequing Account,Social Media,Website,140.51919638975588,0.008082569597113292,Very Low Priority
Lead_036,22,Female,Ontario,Full-time,Married,Credit Card,Social Media,Website,377.19173102435246,0.021695814492163012,Very Low Priority
Lead_037,34,Male,Ontario,Part-time,Single,Chequing Account,Branch Walk-in,Website,609.1131813424591,0.035035780215139534,Very Low Priority
Lead_038,34,Female,Nova Scotia,Unemployed,Single,Mortgage,Social Media,Call,362.3737968363915,0.02084349689117529,Very Low Priority
Lead_039,20,Female,Quebec,Unemployed,Married,Mortgage,Referral,Email,221.64012934006539,0.012748591060366101,Very Low Priority
Lead_040,19,Female,Ontario,Full-time,Single,Mortgage,Social Media,Email,184.99253076810044,0.010640645856898012,Very Low Priority
Lead_041,27,Female,Nova Scotia,Student,Widowed,Credit Card,Partnership,Website,437.7916831002403,0.025181482947571294,Very Low Priority
Lead_042,31,Female,Alberta,Full-time,Single,Mortgage,Online Ad,Branch,488.96266771115313,0.02812480354074733,Very Low Priority
Lead_043,18,Female,Quebec,Full-time,Single,Credit Card,Referral,Email,496.79538066595757,0.028575335917945248,Very Low Priority
Lead_044,30,Female,Ontario,Student,Divorced,Mortgage,Social Media,Website,184.99253076810044,0.010640645856898012,Very Low Priority
Lead_045,21,Male,British Columbia,Unemployed,Divorced,Mortgage,Online Ad,Website,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_046,19,Male,Nova Scotia,Full-time,Married,Credit Card,Referral,Email,29.699383229089264,0.0017082885335796953,Very Low Priority
Lead_047,32,Male,Manitoba,Unemployed,Divorced,Chequing Account,Online Ad,Branch,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_048,24,Male,British Columbia,Full-time,Married,Mortgage,Social Media,Email,227.52948072437778,0.013087342588047272,Very Low Priority
Lead_049,19,Female,Ontario,Full-time,Married,Chequing Account,Online Ad,Website,408.19561905309104,0.023479137263795767,Very Low Priority
Lead_050,21,Female,British Columbia,Part-time,Single,Mortgage,Online Ad,Website,69.74927428438419,0.0040119313107086505,Very Low Priority
Lead_051,33,Female,British Columbia,Unemployed,Married,Chequing Account,Social Media,Email,0.0,0.0,Very Low Priority
Lead_052,33,Male,British Columbia,Full-time,Single,Investment,Online Ad,Email,549.9530165769143,0.03163292735674484,Very Low Priority
Lead_053,30,Male,Quebec,Part-time,Single,Chequing Account,Branch Walk-in,Website,532.5424078361636,0.03063148086053157,Very Low Priority
Lead_054,25,Male,Unknown,Self-employed,Single,Chequing Account,Referral,Branch,435.2840459761043,0.025037245348005777,Very Low Priority
Lead_055,29,Male,Quebec,Student,Married,Chequing Account,Referral,Website,290.6014552083651,0.016715200108525844,Very Low Priority
Lead_056,33,Other,British Columbia,Full-time,Married,Credit Card,Partnership,Website,277.62667477778996,0.01596889947109185,Very Low Priority
Lead_057,28,Female,Alberta,Unemployed,Widowed,Credit Card,Branch Walk-in,Website,139.8717834311755,0.008045330839489849,Very Low Priority
Lead_058,26,Male,British Columbia,Student,Married,Chequing Account,Online Ad,Call,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_059,21,Female,Ontario,Student,Divorced,Credit Card,Social Media,Email,465.9655269026716,0.026802023480124122,Very Low Priority
Lead_060,21,Female,British Columbia,Full-time,Married,Chequing Account,Social Media,Email,399.46476105720245,0.02297694418834898,Very Low Priority
Lead_061,23,Male,Quebec,Part-time,Single,Mortgage,Partnership,Email,377.55223078818034,0.021716550195936893,Very Low Priority
Lead_062,31,Female,Quebec,Full-time,Married,Credit Card,Partnership,Website,140.12160607100867,0.008059700469584983,Very Low Priority
Lead_063,19,Female,Ontario,Full-time,Married,Mortgage,Social Media,Website,132.8269002469983,0.007640113900433996,Very Low Priority
Lead_064,29,Male,Ontario,Full-time,Divorced,Investment,Referral,Website,537.8521940442088,0.030936896189361657,Very Low Priority
Lead_065,31,Female,Quebec,Student,Single,Credit Card,Online Ad,Email,433.0488968571121,0.02490868107509268,Very Low Priority
Lead_066,29,Female,British Columbia,Unemployed,Married,Credit Card,Online Ad,Call,103.41397636350628,0.005948302315605924,Very Low Priority
Lead_067,32,Male,British Columbia,Full-time,Divorced,Credit Card,Partnership,Email,541.1877156631404,0.031128753147843777,Very Low Priority
Lead_068,29,Female,Nova Scotia,Self-employed,Widowed,Chequing Account,Branch Walk-in,Website,263.84740564025054,0.015176325184710317,Very Low Priority
Lead_069,25,Female,Manitoba,Part-time,Married,Credit Card,Referral,Website,551.3452236391391,0.0317130061699115,Very Low Priority
Lead_070,22,Male,Nova Scotia,Part-time,Married,Chequing Account,Online Ad,Email,488.60306481535883,0.028104119424219087,Very Low Priority
Lead_071,27,Male,Quebec,Full-time,Married,Credit Card,Referral,Call,451.84229867354804,0.025989664898303136,Very Low Priority
Lead_072,27,Male,Quebec,Part-time,Married,Mortgage,Social Media,Website,23.70530941642335,0.0013635134423051313,Very Low Priority
Lead_073,23,Male,Ontario,Full-time,Married,Chequing Account,Social Media,Branch,542.1665106489203,0.03118505277662851,Very Low Priority
Lead_074,22,Female,Ontario,Student,Married,Chequing Account,Online Ad,Email,485.2105191088826,0.027908982478602587,Very Low Priority
Lead_075,21,Female,Ontario,Self-employed,Single,Investment,Referral,Website,315.9750859123947,0.018174674268397438,Very Low Priority
Lead_076,31,Female,Ontario,Full-time,Single,Investment,Partnership,Email,299.6030399401316,0.017232965203602346,Very Low Priority
Lead_077,33,Other,Manitoba,Unemployed,Married,Credit Card,Online Ad,Email,214.6688769879371,0.012347609317211012,Very Low Priority
Lead_078,33,Male,Quebec,Student,Single,Investment,Branch Walk-in,Website,536.3392779584152,0.03084987427440492,Very Low Priority
Lead_079,24,Other,Unknown,Full-time,Divorced,Chequing Account,Social Media,Email,377.19173102435246,0.021695814492163012,Very Low Priority
Lead_080,28,Male,Ontario,Self-employed,Married,Investment,Online Ad,Call,282.82909554581295,0.016268139212076302,Very Low Priority
Lead_081,24,Female,Quebec,Self-employed,Married,Investment,Branch Walk-in,Email,220.78931418183183,0.012699652745122483,Very Low Priority
Lead_082,22,Female,Ontario,Part-time,Single,Investment,Online Ad,Branch,221.64012934006539,0.012748591060366101,Very Low Priority
Lead_083,20,Male,Ontario,Unemployed,Single,Chequing Account,Branch Walk-in,Website,432.15417661830884,0.02485721736916588,Very Low Priority
Lead_084,21,Female,Ontario,Student,Married,Credit Card,Branch Walk-in,Website,601.8495629888166,0.034617981776360066,Very Low Priority
Lead_085,28,Female,Alberta,Part-time,Married,Credit Card,Online Ad,Call,414.2772154662187,0.023828946596140075,Very Low Priority
Lead_086,23,Female,Quebec,Student,Single,Credit Card,Branch Walk-in,Email,468.37800106643425,0.026940787370260278,Very Low Priority
Lead_087,28,Male,Alberta,Unemployed,Single,Chequing Account,Referral,Call,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_088,24,Male,Ontario,Self-employed,Married,Mortgage,Online Ad,Call,317.2152696384824,0.018246008801591804,Very Low Priority
Lead_089,26,Male,Manitoba,Full-time,Divorced,Chequing Account,Partnership,Email,536.9091269713294,0.03088265160607959,Very Low Priority
Lead_090,30,Female,British Columbia,Student,Married,Chequing Account,Partnership,Branch,183.47984799015558,0.010553637361651698,Very Low Priority
Lead_091,22,Male,Ontario,Unknown,Single,Investment,Partnership,Email,617.4112170672937,0.03551307764487489,Very Low Priority
Lead_092,28,Female,British Columbia,Full-time,Divorced,Chequing Account,Referral,Website,399.46476105720245,0.02297694418834898,Very Low Priority
Lead_093,20,Female,Alberta,Part-time,Single,Chequing Account,Referral,Website,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_094,27,Male,Ontario,Part-time,Single,Chequing Account,Branch Walk-in,Branch,265.52968674796256,0.015273088861733328,Very Low Priority
Lead_095,18,Male,Quebec,Self-employed,Single,Credit Card,Branch Walk-in,Email,140.12160607100867,0.008059700469584983,Very Low Priority
Lead_096,27,Female,British Columbia,Part-time,Married,Credit Card,Online Ad,Email,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_097,34,Female,Ontario,Full-time,Married,Chequing Account,Social Media,Email,534.4300670993551,0.030740057750823925,Very Low Priority
Lead_098,32,Female,British Columbia,Full-time,Married,Chequing Account,Social Media,Email,140.12160607100867,0.008059700469584983,Very Low Priority
Lead_099,32,Female,Quebec,Unemployed,Married,Credit Card,Partnership,Website,433.0488968571121,0.02490868107509268,Very Low Priority
Lead_100,18,Female,Manitoba,Full-time,Single,Investment,Online Ad,Website,184.99253076810044,0.010640645856898012,Very Low Priority
Lead_101,26,Female,Ontario,Part-time,Single,Investment,Online Ad,Email,195.9606572803574,0.011271525111568466,Very Low Priority
Lead_102,20,Male,Manitoba,Part-time,Divorced,Credit Card,Online Ad,Email,317.2152696384824,0.018246008801591804,Very Low Priority
Lead_103,19,Male,British Columbia,Part-time,Married,Chequing Account,Branch Walk-in,Call,487.89860745450557,0.028063599510971773,Very Low Priority
Lead_104,19,Male,Alberta,Full-time,Married,Chequing Account,Social Media,Email,223.74944824684067,0.01286991766416499,Very Low Priority
Lead_105,21,Male,British Columbia,Self-employed,Single,Mortgage,Partnership,Branch,318.15870879576363,0.01830027478691823,Very Low Priority
Lead_106,34,Female,Nova Scotia,Student,Single,Investment,Online Ad,Website,69.52914825232446,0.003999269809504756,Very Low Priority
Lead_107,25,Other,British Columbia,Self-employed,Married,Mortgage,Online Ad,Email,347.61870337458765,0.019994793846459937,Very Low Priority
Lead_108,26,Female,Ontario,Full-time,Married,Chequing Account,Social Media,Website,525.4818082049231,0.0302253599220189,Very Low Priority
Lead_109,31,Male,British Columbia,Full-time,Single,Investment,Online Ad,Branch,377.38333705427283,0.0217068355420398,Very Low Priority
Lead_110,22,Female,Unknown,Full-time,Married,Chequing Account,Online Ad,Call,329.12795067992977,0.018931218197030177,Very Low Priority
Lead_111,21,Male,Ontario,Part-time,Married,Credit Card,Referral,Call,316.8014631889794,0.018222206933137013,Very Low Priority
Lead_112,18,Male,Ontario,Full-time,Single,Mortgage,Online Ad,Website,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_113,30,Male,British Columbia,Full-time,Single,Mortgage,Referral,Call,414.2772154662187,0.023828946596140075,Very Low Priority
Lead_114,18,Male,Quebec,Full-time,Single,Chequing Account,Online Ad,Website,263.84740564025054,0.015176325184710317,Very Low Priority
Lead_115,32,Female,Quebec,Full-time,Single,Chequing Account,Referral,Website,299.6030399401316,0.017232965203602346,Very Low Priority
Lead_116,32,Male,British Columbia,Part-time,Single,Chequing Account,Branch Walk-in,Email,383.4771076028174,0.022057345122459243,Very Low Priority
Lead_117,19,Female,Alberta,Full-time,Single,Credit Card,Partnership,Email,34.110829671531114,0.001962031963737637,Very Low Priority
Lead_118,29,Female,Ontario,Student,Married,Credit Card,Partnership,Email,514.2780993810684,0.029580930131348677,Very Low Priority
Lead_119,25,Male,Ontario,Part-time,Single,Chequing Account,Partnership,Email,498.07762057448144,0.0286490894944466,Very Low Priority
Lead_120,30,Female,Quebec,Student,Single,Mortgage,Branch Walk-in,Website,169.71382444273328,0.009761824952698492,Very Low Priority
Lead_121,27,Male,Quebec,Student,Married,Investment,Social Media,Email,317.0050613556264,0.018233917762646774,Very Low Priority
Lead_122,28,Female,British Columbia,Unemployed,Divorced,Credit Card,Branch Walk-in,Email,274.7344929458305,0.015802543118757752,Very Low Priority
Lead_123,31,Female,Alberta,Self-employed,Single,Chequing Account,Online Ad,Website,374.8276790111855,0.02155983581153763,Very Low Priority
Lead_124,22,Female,Quebec,Full-time,Married,Credit Card,Referral,Email,221.0502067450693,0.012714659109761,Very Low Priority
Lead_125,25,Female,Quebec,Full-time,Married,Credit Card,Referral,Email,0.0,0.0,Very Low Priority
Lead_126,31,Male,Alberta,Full-time,Married,Credit Card,Online Ad,Branch,324.28898453633315,0.018652884121412406,Very Low Priority
Lead_127,21,Male,Alberta,Unemployed,Married,Credit Card,Social Media,Website,509.00517638852705,0.029277635149862848,Very Low Priority
Lead_128,31,Male,Ontario,Student,Single,Credit Card,Branch Walk-in,Email,408.19561905309104,0.023479137263795767,Very Low Priority
Lead_129,27,Female,British Columbia,Full-time,Married,Chequing Account,Online Ad,Website,243.5274782475034,0.014007536637808687,Very Low Priority
Lead_130,24,Female,Quebec,Part-time,Married,Credit Card,Online Ad,Branch,301.86631532879585,0.01736314728061603,Very Low Priority
Lead_131,26,Male,Manitoba,Full-time,Single,Credit Card,Referral,Website,377.38333705427283,0.0217068355420398,Very Low Priority
Lead_132,22,Female,Ontario,Student,Divorced,Investment,Partnership,Website,227.52948072437778,0.013087342588047272,Very Low Priority
Lead_133,32,Female,Quebec,Self-employed,Single,Investment,Social Media,Email,393.1831137586509,0.0226156280637233,Very Low Priority
Lead_134,26,Female,Quebec,Unemployed,Single,Investment,Online Ad,Call,169.71382444273328,0.009761824952698492,Very Low Priority
Lead_135,27,Male,British Columbia,Part-time,Single,Investment,Online Ad,Email,317.2152696384824,0.018246008801591804,Very Low Priority
Lead_136,21,Male,Ontario,Self-employed,Married,Mortgage,Social Media,Website,488.2628411626591,0.02808454998871006,Very Low Priority
Lead_137,18,Male,Ontario,Full-time,Married,Credit Card,Branch Walk-in,Branch,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_138,30,Male,Ontario,Student,Single,Mortgage,Branch Walk-in,Call,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_139,32,Female,Alberta,Self-employed,Divorced,Credit Card,Referral,Email,299.6030399401316,0.017232965203602346,Very Low Priority
Lead_140,21,Female,Quebec,Unemployed,Single,Chequing Account,Social Media,Call,338.05403276883504,0.019444640430907843,Very Low Priority
Lead_141,30,Male,Manitoba,Student,Married,Chequing Account,Social Media,Email,265.52968674796256,0.015273088861733328,Very Low Priority
Lead_142,21,Female,Quebec,Full-time,Married,Mortgage,Branch Walk-in,Email,441.33371371986937,0.025385218164778567,Very Low Priority
Lead_143,26,Male,Alberta,Full-time,Married,Credit Card,Branch Walk-in,Website,493.9350423593323,0.028410811183755453,Very Low Priority
Lead_144,32,Female,British Columbia,Student,Single,Investment,Partnership,Website,615.1567611528793,0.03538340285808393,Very Low Priority
Lead_145,28,Female,Quebec,Unknown,Single,Mortgage,Online Ad,Email,369.9726592304881,0.02128057834151904,Very Low Priority
Lead_146,27,Male,Ontario,Full-time,Single,Mortgage,Branch Walk-in,Email,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_147,22,Female,British Columbia,Self-employed,Single,Chequing Account,Referral,Call,589.60153547416,0.03391348347749428,Very Low Priority
Lead_148,26,Female,Ontario,Unemployed,Single,Mortgage,Branch Walk-in,Branch,384.45965891151803,0.022113860812410107,Very Low Priority
Lead_149,20,Male,Nova Scotia,Full-time,Married,Chequing Account,Referral,Email,303.5084563571131,0.017457602127289328,Very Low Priority
Lead_150,20,Female,Manitoba,Full-time,Divorced,Mortgage,Referral,Email,313.1828122066455,0.01801406456423781,Very Low Priority
Lead_151,19,Female,Quebec,Part-time,Married,Chequing Account,Social Media,Call,319.11945370874133,0.018355536187664334,Very Low Priority
Lead_152,18,Female,Manitoba,Unemployed,Single,Credit Card,Branch Walk-in,Call,317.2152696384824,0.018246008801591804,Very Low Priority
Lead_153,21,Female,Ontario,Part-time,Married,Investment,Branch Walk-in,Call,184.99253076810044,0.010640645856898012,Very Low Priority
Lead_154,33,Male,Manitoba,Full-time,Single,Chequing Account,Branch Walk-in,Branch,69.52914825232446,0.003999269809504756,Very Low Priority
Lead_155,33,Female,Quebec,Full-time,Married,Chequing Account,Social Media,Email,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_156,31,Male,Alberta,Part-time,Single,Mortgage,Social Media,Call,265.52968674796256,0.015273088861733328,Very Low Priority
Lead_157,26,Other,Alberta,Part-time,Married,Chequing Account,Referral,Email,385.7833411779603,0.022189998125445327,Very Low Priority
Lead_158,20,Female,Manitoba,Full-time,Married,Investment,Social Media,Website,140.12160607100867,0.008059700469584983,Very Low Priority
Lead_159,31,Male,Quebec,Self-employed,Married,Chequing Account,Referral,Email,606.2295469980679,0.034869915508537304,Very Low Priority
Lead_160,34,Male,Manitoba,Self-employed,Married,Credit Card,Partnership,Website,415.21620125066823,0.02388295642645865,Very Low Priority
Lead_161,30,Female,Quebec,Full-time,Married,Mortgage,Online Ad,Call,488.96266771115313,0.02812480354074733,Very Low Priority
Lead_162,18,Female,Quebec,Part-time,Married,Mortgage,Branch Walk-in,Website,559.1057494879334,0.03215938639335868,Very Low Priority
Lead_163,21,Male,Manitoba,Student,Married,Mortgage,Partnership,Website,296.36258566621024,0.017046576454818253,Very Low Priority
Lead_164,19,Male,Quebec,Unemployed,Divorced,Mortgage,Branch Walk-in,Email,546.3275183837765,0.03142439114088885,Very Low Priority
Lead_165,18,Male,British Columbia,Part-time,Married,Credit Card,Partnership,Branch,221.0502067450693,0.012714659109761,Very Low Priority
Lead_166,19,Female,Ontario,Part-time,Divorced,Chequing Account,Online Ad,Branch,277.62667477778996,0.01596889947109185,Very Low Priority
Lead_167,34,Male,Ontario,Full-time,Single,Chequing Account,Branch Walk-in,Call,329.12795067992977,0.018931218197030177,Very Low Priority
Lead_168,19,Male,Alberta,Student,Single,Mortgage,Social Media,Branch,138.04688383071618,0.007940363842756214,Very Low Priority
Lead_169,21,Male,British Columbia,Full-time,Divorced,Credit Card,Social Media,Email,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_170,27,Female,British Columbia,Part-time,Married,Chequing Account,Branch Walk-in,Email,453.88547798029515,0.02610718719682497,Very Low Priority
Lead_171,30,Female,Ontario,Unemployed,Married,Credit Card,Branch Walk-in,Email,432.15417661830884,0.02485721736916588,Very Low Priority
Lead_172,31,Male,Ontario,Full-time,Single,Credit Card,Partnership,Website,285.6461793091625,0.0164301759740502,Very Low Priority
Lead_173,27,Male,Ontario,Unemployed,Single,Chequing Account,Online Ad,Website,317.0050613556264,0.018233917762646774,Very Low Priority
Lead_174,26,Female,Ontario,Self-employed,Single,Investment,Branch Walk-in,Branch,184.99253076810044,0.010640645856898012,Very Low Priority
Lead_175,18,Male,Ontario,Full-time,Married,Mortgage,Branch Walk-in,Call,317.0050613556264,0.018233917762646774,Very Low Priority
Lead_176,24,Female,British Columbia,Full-time,Single,Chequing Account,Branch Walk-in,Call,221.0502067450693,0.012714659109761,Very Low Priority
Lead_177,33,Male,Ontario,Part-time,Single,Mortgage,Partnership,Email,44.457236434418164,0.0025571503168851126,Very Low Priority
Lead_178,20,Male,Quebec,Part-time,Married,Chequing Account,Online Ad,Call,313.1828122066455,0.01801406456423781,Very Low Priority
Lead_179,22,Male,British Columbia,Full-time,Married,Mortgage,Social Media,Call,595.7452873033136,0.03426686794753347,Very Low Priority
Lead_180,33,Female,Alberta,Full-time,Married,Chequing Account,Referral,Website,443.3056775622682,0.025498644197724067,Very Low Priority
Lead_181,25,Female,Manitoba,Full-time,Married,Credit Card,Branch Walk-in,Email,184.99253076810044,0.010640645856898012,Very Low Priority
Lead_182,26,Female,Quebec,Full-time,Single,Chequing Account,Social Media,Branch,25.31974806459484,0.0014563748667180798,Very Low Priority
Lead_183,32,Male,Alberta,Full-time,Married,Mortgage,Online Ad,Website,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_184,28,Male,Ontario,Unemployed,Married,Credit Card,Branch Walk-in,Email,498.63446794662633,0.028681118980495232,Very Low Priority
Lead_185,32,Female,Quebec,Self-employed,Married,Chequing Account,Social Media,Website,536.3392779584152,0.03084987427440492,Very Low Priority
Lead_186,19,Female,Ontario,Full-time,Single,Chequing Account,Partnership,Call,221.0502067450693,0.012714659109761,Very Low Priority
Lead_187,21,Female,Ontario,Self-employed,Divorced,Mortgage,Online Ad,Call,395.6650442909202,0.022758387037426976,Very Low Priority
Lead_188,20,Female,Manitoba,Student,Divorced,Investment,Partnership,Website,486.375905775843,0.027976014735299596,Very Low Priority
Lead_189,20,Female,Unknown,Self-employed,Married,Credit Card,Online Ad,Call,377.38333705427283,0.0217068355420398,Very Low Priority
Lead_190,27,Male,Ontario,Student,Single,Chequing Account,Referral,Branch,317.2152696384824,0.018246008801591804,Very Low Priority
Lead_191,22,Male,Quebec,Full-time,Single,Mortgage,Branch Walk-in,Website,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_192,23,Male,British Columbia,Self-employed,Single,Mortgage,Partnership,Call,369.9726592304881,0.02128057834151904,Very Low Priority
Lead_193,32,Male,British Columbia,Self-employed,Married,Chequing Account,Online Ad,Email,140.12160607100867,0.008059700469584983,Very Low Priority
Lead_194,19,Female,Ontario,Student,Married,Investment,Branch Walk-in,Website,377.38333705427283,0.0217068355420398,Very Low Priority
Lead_195,33,Female,British Columbia,Self-employed,Single,Investment,Partnership,Email,314.45292445173794,0.01808712056570135,Very Low Priority
Lead_196,25,Female,Ontario,Student,Single,Investment,Online Ad,Email,341.4314174233007,0.01963890532301714,Very Low Priority
Lead_197,23,Male,Ontario,Student,Single,Chequing Account,Online Ad,Website,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_198,26,Female,Quebec,Unemployed,Married,Credit Card,Social Media,Email,534.4300670993551,0.030740057750823925,Very Low Priority
Lead_199,25,Female,Ontario,Self-employed,Married,Mortgage,Social Media,Email,44.457236434418164,0.0025571503168851126,Very Low Priority
Lead_200,19,Male,Nova Scotia,Unknown,Single,Credit Card,Online Ad,Email,221.64012934006539,0.012748591060366101,Very Low Priority
Lead_201,30,Female,Ontario,Student,Single,Credit Card,Online Ad,Email,0.0,0.0,Very Low Priority
Lead_202,28,Female,Ontario,Full-time,Divorced,Mortgage,Social Media,Call,0.0,0.0,Very Low Priority
Lead_203,34,Female,Manitoba,Unemployed,Married,Credit Card,Branch Walk-in,Call,485.2105191088826,0.027908982478602587,Very Low Priority
Lead_204,20,Female,British Columbia,Self-employed,Single,Chequing Account,Referral,Email,541.1877156631404,0.031128753147843777,Very Low Priority
Lead_205,27,Male,Unknown,Part-time,Divorced,Mortgage,Partnership,Call,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_206,30,Female,Ontario,Part-time,Divorced,Credit Card,Branch Walk-in,Branch,376.80599493594093,0.021673627211984885,Very Low Priority
Lead_207,28,Male,Quebec,Full-time,Married,Chequing Account,Partnership,Website,385.7833411779603,0.022189998125445327,Very Low Priority
Lead_208,29,Female,Alberta,Full-time,Single,Investment,Branch Walk-in,Website,487.89860745450557,0.028063599510971773,Very Low Priority
Lead_209,23,Male,Manitoba,Part-time,Single,Mortgage,Branch Walk-in,Call,0.0,0.0,Very Low Priority
Lead_210,22,Male,Ontario,Student,Married,Investment,Branch Walk-in,Call,103.28099499948894,0.005940653317053385,Very Low Priority
Lead_211,34,Female,Nova Scotia,Full-time,Married,Chequing Account,Branch Walk-in,Website,549.129114296061,0.03158553705209389,Very Low Priority
Lead_212,18,Female,Manitoba,Unemployed,Single,Credit Card,Referral,Website,263.84740564025054,0.015176325184710317,Very Low Priority
Lead_213,22,Other,Quebec,Unknown,Single,Chequing Account,Referral,Email,139.8717834311755,0.008045330839489849,Very Low Priority
Lead_214,21,Male,Quebec,Full-time,Married,Investment,Branch Walk-in,Website,533.4781324205355,0.030685303108816692,Very Low Priority
